scenario,node,m_kl,argmax_t,git_sha,seed,m,p_pos,p_neg
scenario1,UnstablePS,0.02734184845515955,24,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
scenario1,CorrReact,0.035279843070905995,24,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
scenario1,MITM,0.007506508568163331,7,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
scenario2,UnstablePS,1.6124827554384655e-16,22,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
scenario2,CorrReact,2.0759459692807496e-11,32,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
scenario2,MITM,5.648749858200351e-10,33,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
scenario1,__FF_perf__,0.5315406238754542,203918897,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
scenario1,__EX_perf__,0.48029484065092193,203942032,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
scenario2,__FF_perf__,0.0270035193059716,7610984,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
scenario2,__EX_perf__,0.05977076237014794,10182225,26df4e8995c1c630633feceb754368becd635ef4-dirty,42,1.0,0.0001,0.0001
